nr,tryb,czas,Y,X,H
Auto90469,Measured,05/17/2012 10:13:10,7421840.1727,5545061.9507,238.5107
Auto90470,Measured,05/17/2012 10:13:11,7421840.9327,5545061.5449,238.5196
Auto90471,Measured,05/17/2012 10:13:12,7421841.6816,5545061.1003,238.5267
Auto90472,Measured,05/17/2012 10:13:13,7421842.498,5545060.7322,238.5241
Auto90473,Measured,05/17/2012 10:13:14,7421843.2712,5545060.2207,238.5251
Auto90474,Measured,05/17/2012 10:13:15,7421844.1315,5545059.8695,238.5307
Auto90475,Measured,05/17/2012 10:13:16,7421844.8831,5545059.3472,238.537
Auto90476,Measured,05/17/2012 10:13:17,7421845.7216,5545058.9715,238.5232
Auto90477,Measured,05/17/2012 10:13:18,7421846.4186,5545058.4063,238.5236
Auto90478,Measured,05/17/2012 10:13:19,7421847.1929,5545057.9877,238.5239
Auto90479,Measured,05/17/2012 10:13:20,7421847.8735,5545057.4534,238.5349
Auto90480,Measured,05/17/2012 10:13:21,7421848.5174,5545056.9202,238.5268
Auto90481,Measured,05/17/2012 10:13:22,7421849.1965,5545056.384,238.5203
Auto90482,Measured,05/17/2012 10:13:23,7421849.8211,5545055.8027,238.5303
Auto90483,Measured,05/17/2012 10:13:24,7421850.535,5545055.2709,238.5217
Auto90484,Measured,05/17/2012 10:13:25,7421851.1842,5545054.6734,238.5303
Auto90485,Measured,05/17/2012 10:13:26,7421851.906,5545054.1094,238.5206
Auto90486,Measured,05/17/2012 10:13:27,7421852.5954,5545053.4873,238.5236
Auto90487,Measured,05/17/2012 10:13:28,7421853.3573,5545052.9249,238.5213
Auto90488,Measured,05/17/2012 10:13:29,7421854.0752,5545052.2908,238.5292
Auto90489,Measured,05/17/2012 10:13:30,7421854.858,5545051.7432,238.516
Auto90490,Measured,05/17/2012 10:13:31,7421855.5521,5545051.0371,238.5303
Auto90491,Measured,05/17/2012 10:13:32,7421856.3502,5545050.4602,238.5214
Auto90492,Measured,05/17/2012 10:13:33,7421857.0594,5545049.7422,238.5337
Auto90493,Measured,05/17/2012 10:13:34,7421857.8575,5545049.1777,238.5319
Auto90494,Measured,05/17/2012 10:13:35,7421858.5955,5545048.4698,238.5341
Auto90495,Measured,05/17/2012 10:13:36,7421859.3751,5545047.8958,238.5316
