nr,X,Y,H,czas
tAuto61513,5545246.409,7421901.929,239.719,05/26/2010 13:18:21
tAuto61514,5545245.533,7421902.632,239.7108,05/26/2010 13:18:22
tAuto61515,5545244.565,7421903.354,239.7112,05/26/2010 13:18:23
tAuto61516,5545243.721,7421904.039,239.7224,05/26/2010 13:18:24
tAuto61517,5545242.782,7421904.841,239.6999,05/26/2010 13:18:25
tAuto61518,5545241.998,7421905.606,239.7188,05/26/2010 13:18:26
tAuto61519,5545241.121,7421906.429,239.7105,05/26/2010 13:18:27
tAuto61520,5545240.306,7421907.233,239.704,05/26/2010 13:18:28
tAuto61521,5545239.459,7421908.076,239.7065,05/26/2010 13:18:29
tAuto61522,5545238.644,7421908.92,239.7143,05/26/2010 13:18:30
tAuto61523,5545237.858,7421909.804,239.7148,05/26/2010 13:18:31
tAuto61524,5545237.074,7421910.609,239.7157,05/26/2010 13:18:32
tAuto61525,5545236.288,7421911.533,239.7103,05/26/2010 13:18:33
tAuto61526,5545235.411,7421912.316,239.7162,05/26/2010 13:18:34
tAuto61527,5545234.657,7421913.201,239.7113,05/26/2010 13:18:35
tAuto61528,5545233.749,7421913.983,239.7112,05/26/2010 13:18:36
tAuto61529,5545232.995,7421914.868,239.717,05/26/2010 13:18:37
tAuto61530,5545232.118,7421915.691,239.7016,05/26/2010 13:18:38
tAuto61531,5545231.333,7421916.555,239.7155,05/26/2010 13:18:39
tAuto61532,5545230.517,7421917.379,239.7128,05/26/2010 13:18:40
tAuto61533,5545229.671,7421918.183,239.7089,05/26/2010 13:18:41
tAuto61534,5545228.794,7421918.966,239.719,05/26/2010 13:18:42
tAuto61535,5545227.888,7421919.65,239.7142,05/26/2010 13:18:43
tAuto61536,5545226.951,7421920.352,239.7061,05/26/2010 13:18:44
tAuto61537,5545226.045,7421921.036,239.7194,05/26/2010 13:18:45
tAuto61538,5545225.139,7421921.739,239.705,05/26/2010 13:18:46
tAuto61539,5545224.324,7421922.483,239.7141,05/26/2010 13:18:47
tAuto61540,5545223.449,7421923.207,239.7053,05/26/2010 13:18:48
tAuto61541,5545222.573,7421923.911,239.7106,05/26/2010 13:18:49
tAuto61542,5545221.698,7421924.595,239.7068,05/26/2010 13:18:50
tAuto61543,5545220.731,7421925.237,239.7147,05/26/2010 13:18:51
tAuto61544,5545219.886,7421925.941,239.714,05/26/2010 13:18:52
tAuto61545,5545218.826,7421926.603,239.7154,05/26/2010 13:18:53
tAuto61546,5545218.011,7421927.387,239.7142,05/26/2010 13:18:54
tAuto61547,5545217.011,7421928.148,239.7154,05/26/2010 13:18:55
tAuto61548,5545216.226,7421929.013,239.7036,05/26/2010 13:18:56
tAuto61549,5545215.379,7421929.876,239.7163,05/26/2010 13:18:57
tAuto61550,5545214.655,7421930.821,239.6973,05/26/2010 13:18:58
tAuto61551,5545213.931,7421931.726,239.7142,05/26/2010 13:18:59
tAuto61552,5545213.114,7421932.649,239.709,05/26/2010 13:19:00
tAuto61553,5545212.359,7421933.573,239.7193,05/26/2010 13:19:01
tAuto61554,5545211.603,7421934.538,239.7046,05/26/2010 13:19:02
tAuto61555,5545210.786,7421935.461,239.7135,05/26/2010 13:19:03
tAuto61556,5545210.123,7421936.466,239.699,05/26/2010 13:19:04
tAuto61557,5545209.275,7421937.409,239.7082,05/26/2010 13:19:05
tAuto61558,5545208.611,7421938.415,239.7045,05/26/2010 13:19:06
tAuto61559,5545207.886,7421939.419,239.7135,05/26/2010 13:19:07
tAuto61560,5545207.222,7421940.424,239.6999,05/26/2010 13:19:08
tAuto61561,5545206.65,7421941.491,239.7176,05/26/2010 13:19:09
tAuto61562,5545205.956,7421942.515,239.7136,05/26/2010 13:19:10
tAuto61563,5545205.384,7421943.602,239.7027,05/26/2010 13:19:11
tAuto61564,5545204.72,7421944.587,239.7204,05/26/2010 13:19:12
tAuto61565,5545204.118,7421945.653,239.7176,05/26/2010 13:19:13
tAuto61566,5545203.516,7421946.639,239.7141,05/26/2010 13:19:14
tAuto61567,5545202.945,7421947.686,239.7181,05/26/2010 13:19:15
tAuto61568,5545202.22,7421948.651,239.7114,05/26/2010 13:19:16
tAuto61569,5545201.496,7421949.575,239.7191,05/26/2010 13:19:17
tAuto61570,5545200.771,7421950.5,239.7146,05/26/2010 13:19:18
tAuto61571,5545199.894,7421951.363,239.7155,05/26/2010 13:19:19
tAuto61572,5545199.109,7421952.188,239.7178,05/26/2010 13:19:20
tAuto61573,5545198.14,7421952.989,239.7072,05/26/2010 13:19:21
tAuto61574,5545197.325,7421953.754,239.7203,05/26/2010 13:19:22
tAuto61575,5545196.417,7421954.596,239.7118,05/26/2010 13:19:23
tAuto61576,5545195.571,7421955.4,239.7217,05/26/2010 13:19:24
tAuto61577,5545194.755,7421956.244,239.7216,05/26/2010 13:19:25
tAuto61578,5545193.879,7421957.007,239.7168,05/26/2010 13:19:26
tAuto61579,5545193.063,7421957.811,239.7166,05/26/2010 13:19:27
tAuto61580,5545192.065,7421958.493,239.7123,05/26/2010 13:19:28
tAuto61581,5545191.22,7421959.237,239.7156,05/26/2010 13:19:29
tAuto61582,5545190.189,7421959.959,239.7105,05/26/2010 13:19:30
tAuto61583,5545189.374,7421960.802,239.72,05/26/2010 13:19:31
tAuto61584,5545188.495,7421961.705,239.707,05/26/2010 13:19:32
tAuto61585,5545187.679,7421962.609,239.7225,05/26/2010 13:19:33
tAuto61586,5545186.984,7421963.634,239.7006,05/26/2010 13:19:34
tAuto61587,5545186.29,7421964.579,239.7178,05/26/2010 13:19:35
tAuto61588,5545185.811,7421965.666,239.7136,05/26/2010 13:19:36
tAuto61589,5545185.24,7421966.693,239.7038,05/26/2010 13:19:37
tAuto61590,5545184.761,7421967.761,239.7251,05/26/2010 13:19:38
tAuto61591,5545184.159,7421968.787,239.7106,05/26/2010 13:19:39
tAuto61592,5545183.557,7421969.793,239.7147,05/26/2010 13:19:40
tAuto61593,5545182.955,7421970.799,239.7135,05/26/2010 13:19:41
tAuto61594,5545182.261,7421971.764,239.7228,05/26/2010 13:19:42
tAuto61595,5545181.629,7421972.75,239.7064,05/26/2010 13:19:43
tAuto61596,5545180.782,7421973.594,239.7211,05/26/2010 13:19:44
tAuto61597,5545180.058,7421974.499,239.7164,05/26/2010 13:19:45
tAuto61598,5545179.089,7421975.261,239.7218,05/26/2010 13:19:46
tAuto61599,5545178.304,7421976.125,239.7156,05/26/2010 13:19:47
tAuto61600,5545177.335,7421976.927,239.722,05/26/2010 13:19:48
tAuto61601,5545176.488,7421977.77,239.7119,05/26/2010 13:19:49
tAuto61602,5545175.579,7421978.633,239.7199,05/26/2010 13:19:50
tAuto61603,5545174.701,7421979.515,239.7181,05/26/2010 13:19:51
tAuto61604,5545173.884,7421980.439,239.7238,05/26/2010 13:19:52
tAuto61605,5545172.975,7421981.341,239.7157,05/26/2010 13:19:53
tAuto61606,5545172.22,7421982.246,239.733,05/26/2010 13:19:54
tAuto61607,5545171.341,7421983.188,239.7194,05/26/2010 13:19:55
tAuto61608,5545170.525,7421984.052,239.7263,05/26/2010 13:19:56
tAuto61609,5545169.739,7421985.036,239.7051,05/26/2010 13:19:57
tAuto61610,5545168.922,7421985.939,239.7187,05/26/2010 13:19:58
tAuto61611,5545168.258,7421986.964,239.7119,05/26/2010 13:19:59
tAuto61612,5545167.534,7421987.909,239.7109,05/26/2010 13:20:00
tAuto61613,5545166.871,7421988.835,239.7186,05/26/2010 13:20:01
tAuto61614,5545166.363,7421989.783,239.7191,05/26/2010 13:20:02
tAuto61615,5545166.01,7421990.713,239.7094,05/26/2010 13:20:03
tAuto61616,5545165.811,7421991.646,239.71,05/26/2010 13:20:04
tAuto61617,5545165.549,7421992.617,239.7157,05/26/2010 13:20:05
tAuto61618,5545165.288,7421993.568,239.7278,05/26/2010 13:20:06
tAuto61619,5545164.904,7421994.498,239.7236,05/26/2010 13:20:07
tAuto61620,5545164.488,7421995.467,239.708,05/26/2010 13:20:08
tAuto61621,5545163.981,7421996.356,239.7197,05/26/2010 13:20:09
tAuto61622,5545163.321,7421997.122,239.7242,05/26/2010 13:20:10
tAuto61623,5545162.632,7421997.729,239.7193,05/26/2010 13:20:11
tAuto61624,5545161.884,7421998.176,239.7165,05/26/2010 13:20:12
tAuto61625,5545161.108,7421998.423,239.7198,05/26/2010 13:20:13
tAuto61626,5545160.365,7421998.492,239.7155,05/26/2010 13:20:14
tAuto61627,5545159.749,7421998.344,239.7197,05/26/2010 13:20:15
tAuto61628,5545159.105,7421998.056,239.7062,05/26/2010 13:20:16
tAuto61629,5545158.492,7421997.689,239.728,05/26/2010 13:20:17
tAuto61630,5545157.881,7421997.222,239.7216,05/26/2010 13:20:18
tAuto61631,5545157.27,7421996.696,239.714,05/26/2010 13:20:19
tAuto61632,5545156.6,7421996.069,239.7235,05/26/2010 13:20:20
tAuto61633,5545155.961,7421995.383,239.7155,05/26/2010 13:20:21
tAuto61634,5545155.479,7421994.54,239.7111,05/26/2010 13:20:22
tAuto61635,5545155.12,7421993.699,239.7146,05/26/2010 13:20:23
tAuto61636,5545154.979,7421992.801,239.7212,05/26/2010 13:20:24
tAuto61637,5545154.899,7421991.885,239.7104,05/26/2010 13:20:25
tAuto61638,5545155.005,7421990.971,239.7178,05/26/2010 13:20:26
tAuto61639,5545155.295,7421990.179,239.7169,05/26/2010 13:20:27
tAuto61640,5545155.677,7421989.388,239.705,05/26/2010 13:20:28
tAuto61641,5545156.244,7421988.7,239.7146,05/26/2010 13:20:29
tAuto61642,5545156.811,7421987.912,239.7048,05/26/2010 13:20:30
tAuto61643,5545157.533,7421987.166,239.7257,05/26/2010 13:20:31
tAuto61644,5545158.133,7421986.28,239.7138,05/26/2010 13:20:32
tAuto61645,5545158.826,7421985.374,239.7141,05/26/2010 13:20:33
tAuto61646,5545159.365,7421984.427,239.714,05/26/2010 13:20:34
tAuto61647,5545160.029,7421983.421,239.7171,05/26/2010 13:20:35
